id,name,no2Ags
03351001,Adelheidsdorf,15081280
09679147,Höchberg,16066042
14628210,Königstein/Sächs. Schw.,14628010
14626470,Rosenbach,14626110
14522170,Frauenstein,14522400
14625630,Wilthen,14625020
14627210,Radebeul,
14628300,Rabenau,14612000
09275135,Neukirchen vorm Wald,14521020
14626420,Ostritz,14626610
14523060,Bösenbrunn,14523320
14523440,Triebel/Vogtl.,14523320
14521500,Raschau-Markersbach,14521020
08337049,Herrischried,10041100
09371452,Eichen,14523320
09574164,Winkelhaid,16072013
09472176,Plankenfels,16072013
09474156,Obertrubach,16072013
09471453,Eichwald,16072013
09275144,Ruderting,14521020
09277124,Hebertsfelden,14523320
14626430,Oybin,14626610
14626210,Jonsdorf,14626610
14626140,Großschönau,14626610
14626280,Leutersdorf,14626610
14626170,Hainewalde,14626610
14521460,Olbernhau,14522400
09277153,Wurmannsquick,14523320
03251040,Sulingen,15081280
14625320,Lichtenberg,14612000
09477157,Thurnau,16072013
09572451,Birkach,16072013
09374129,Kirchenthumbach,14523320
09477118,Guttenberg,16072013
09471133,Gerach,16072013
09472111,Ahorntal,16072013
09472133,Emtmannsberg,14523320
16070012,Elleben,16051000
16064035,Kleinwelsbach,16064046
16075081,Peuschen,16074102
09473141,Lautertal,16072013
16075033,Görkwitz,16074102
16070024,Gräfenroda,16066092
09475137,Issigau,14523320
08317146,Zell am Harmersbach,10041100
08215029,Hambrücken,10041518
08125113,Langenbrettach,16066042
16068022,Günstedt,16065067
16065082,Wolferschwenda,16065067
16068027,Herrnschwende,16065067
16065012,Clingen,16065067
16064037,Körner,16064046
16064074,Südeichsfeld,16064046
16066093,Rhönblick,16066042
09673170,Stockheim,16066042
16066059,Rosa,16066042
09675161,Rödelsee,16066042
09673156,Rödelmaier,16066042
09673175,Unsleben,16066042
08325050,Schenkenzell,10041100
07337061,Offenbach an der Queich,10041518
08326074,Villingen-Schwenningen,10041100
07337074,Silz,10041518
07337081,Waldrohrbach,10041518
08337123,Wutöschingen,10041100
08417008,Bisingen,10041100
08417036,Jungingen,10041518
08315074,Müllheim,10041100
08337125,Küssaberg,10041100
14628040,Bahretal,14628010
03459025,Menslage,15085370
08327011,Dürbheim,10041100
08336084,Steinen,10041100
08118068,Sersheim,10041518
08317067,Lautenbach,10041100
08315107,Sölden,10041100
08315059,Ihringen,10041100
08237072,Wörnersberg,10041518
07337014,Bornheim,10041518
07337083,Wernersberg,10041518
08115015,Gärtringen,10041518
08317097,Ohlsbach,10041100
08336073,Rümmingen,10041100
08326075,Brigachtal,10041100
06534008,Ebsdorfergrund,16056000
08327054,Wurmlingen,10041100
08315031,Eisenbach (Hochschwarzwald),10041100
08336036,Hausen im Wiesental,10041100
08325061,Vöhringen,10041100
08235057,Ostelsheim,10041518
08315108,Staufen im Breisgau,10041100
08326041,Niedereschach,10041100
08337002,Albbruck,10041100
07337062,Pleisweiler-Oberhofen,10041518
09185149,Neuburg a.d. Donau,16072013
07340009,Erfweiler,10041518
08215090,Weingarten (Baden),10041518
08115016,Gäufelden,10041518
08216005,Bietigheim,10041518
08237024,Empfingen,10041100
08317127,Seelbach,10041100
08325070,Fluorn-Winzeln,10041100
08315043,Gottenheim,10041100
07340045,Schönau (Pfalz),10041518
07334025,Rülzheim,10041518
14521510,Scheibenberg,14521020
07334022,Neupotz,10041518
08317040,Haslach im Kinzigtal,10041100
13073087,Steinhagen,13003000
01053087,Lütau,13004000
08336094,Wembach,10041100
08316043,Teningen,10041100
08315073,Merzhausen,10041100
07337022,Eschbach,10041518
07340021,Hirschthal,10041518
08327049,Trossingen,10041100
08125038,Güglingen,10041518
08235084,Bad Teinach-Zavelstein,10041518
08316024,Malterdingen,10041100
08317009,Berghaupten,10041100
08327016,Fridingen an der Donau,10041100
08315041,Glottertal,10041100
08417015,Dormettingen,10041100
08236073,Neulingen,10041518
01053011,Bliestorf,13004000
08115013,Ehningen,10041518
08316055,Winden im Elztal,10041100
08317121,Schuttertal,10041100
08327056,Rietheim-Weilheim,10041100
08115053,Jettingen,10041518
08316002,Bahlingen am Kaiserstuhl,10041100
