KREG,category,year,value
16071000,HAUS,2016,1458.472362
16072000,HAUS,2016,1276.606742
16073000,HAUS,2016,1481.702703
16074000,HAUS,2016,1713.591837
16075000,HAUS,2016,1534.944444
16076000,HAUS,2016,1495.221374
16077000,HAUS,2016,1532.31405
1002000,HAUS,2010,1377.3804694292
1003000,HAUS,2010,1422.0654741816
1051000,HAUS,2010,1435.3440860215
1053000,HAUS,2010,1610.4557179708
1054000,HAUS,2010,1346.2345169282
1055000,HAUS,2010,1419.0681003584
1056000,HAUS,2010,1716.0577200577
1057000,HAUS,2010,1413.4666666667
1058000,HAUS,2010,1465.6797966963
1059000,HAUS,2010,1348.4483175987
1060000,HAUS,2010,1632.13125
1061000,HAUS,2010,1483.4431818182
1062000,HAUS,2010,1622.5525946704
2000000,HAUS,2010,1410.6625615764
3101000,HAUS,2010,1565.5152487962
3103000,HAUS,2010,1733.1756272402
3151000,HAUS,2010,1925.2394366197
3152000,HAUS,2010,1326.3368983957
3153000,HAUS,2010,1484.8404255319
3154000,HAUS,2010,1723.5829383886
3155000,HAUS,2010,1269.9162790698
3156000,HAUS,2010,1493.568627451
3157000,HAUS,2010,1747.1812080537
3158000,HAUS,2010,1640.5468164794
3241000,HAUS,2010,1551.4992987377
3251000,HAUS,2010,1747.5864197531
3252000,HAUS,2010,1451.5825242719
3254000,HAUS,2010,1476.0106809079
3255000,HAUS,2010,1367.3831775701
3256000,HAUS,2010,1618.5333333333
3257000,HAUS,2010,1509.8653846154
3351000,HAUS,2010,1537.5895196507
3352000,HAUS,2010,1704.2150537634
3353000,HAUS,2010,1949.2382892057
3354000,HAUS,2010,1433.0510948905
3355000,HAUS,2010,1464.8637316562
3356000,HAUS,2010,1847.3666666667
3357000,HAUS,2010,1753.3189189189
3358000,HAUS,2010,1814.2933333333
3359000,HAUS,2010,1880.8269230769
3360000,HAUS,2010,1643.7709251101
3361000,HAUS,2010,1594.3927492447
3403000,HAUS,2010,1443.533180778
3404000,HAUS,2010,1427.3718244804
3451000,HAUS,2010,1551.9868421053
3452000,HAUS,2010,1516.4166666667
3453000,HAUS,2010,1774.8189415042
3454000,HAUS,2010,1768.1361702128
3455000,HAUS,2010,1574.6216216216
3456000,HAUS,2010,1755.2631578947
3457000,HAUS,2010,1739.9575596817
3458000,HAUS,2010,1687.0707070707
3459000,HAUS,2010,1480.1182682154
3460000,HAUS,2010,1876.3533568905
3461000,HAUS,2010,1591.5911111111
3462000,HAUS,2010,1616.3428571429
4011000,HAUS,2010,1420.4778067885
4012000,HAUS,2010,1644.6996197719
5111000,HAUS,2010,1461.3358116481
5112000,HAUS,2010,1825.7303370787
5113000,HAUS,2010,1653.4696859021
5114000,HAUS,2010,1328.5269461078
5116000,HAUS,2010,1417.7134909597
5117000,HAUS,2010,1746.6387434555
5119000,HAUS,2010,1877.2857142857
5120000,HAUS,2010,1411.9487179487
5122000,HAUS,2010,1509.294403893
5124000,HAUS,2010,1543.1081081081
5154000,HAUS,2010,1696.738028169
5158000,HAUS,2010,1593.0633333333
5162000,HAUS,2010,1683.5846153846
5166000,HAUS,2010,1672.2146892655
5170000,HAUS,2010,1866.9644670051
5314000,HAUS,2010,1332.7410617552
5315000,HAUS,2010,1432.74204947
5316000,HAUS,2010,1416.6488888889
5334000,HAUS,2010,1463.5702702703
5358000,HAUS,2010,1520.7294117647
5362000,HAUS,2010,1664.6764705882
5366000,HAUS,2010,1565.0083333333
5370000,HAUS,2010,1654.4066666667
5374000,HAUS,2010,1642.7571644042
5378000,HAUS,2010,1688.8510638298
5382000,HAUS,2010,1620.1090146751
5512000,HAUS,2010,1858.3174603175
5513000,HAUS,2010,1691.7639344262
5515000,HAUS,2010,1485.5341772152
5554000,HAUS,2010,1822.7434292866
5558000,HAUS,2010,1525.0425531915
5562000,HAUS,2010,1825.2023633678
5566000,HAUS,2010,1471.8235793045
5570000,HAUS,2010,1580.2315484805
5711000,HAUS,2010,1690.9509043928
5754000,HAUS,2010,1836.722513089
5758000,HAUS,2010,1747.8811188811
5762000,HAUS,2010,1478.4795918367
5766000,HAUS,2010,1663.7751196172
5770000,HAUS,2010,1596.5699614891
5774000,HAUS,2010,1640.0221914008
5911000,HAUS,2010,1762.2600243013
5913000,HAUS,2010,1846.2132471729
5914000,HAUS,2010,1587.5677966102
5915000,HAUS,2010,1847.8952879581
5916000,HAUS,2010,1760.0795454546
5954000,HAUS,2010,1842.1813031162
5958000,HAUS,2010,1678.4746835443
5962000,HAUS,2010,1688.7672327672
5966000,HAUS,2010,1583.0697674419
5970000,HAUS,2010,1528.2268326418
5974000,HAUS,2010,1620.43715847
5978000,HAUS,2010,1790.8072562358
6411000,HAUS,2010,1503.5567010309
6412000,HAUS,2010,1541.7798541477
6413000,HAUS,2010,1482
6414000,HAUS,2010,1416.3721902771
6431000,HAUS,2010,1668.7412140575
6432000,HAUS,2010,1828.8064516129
6433000,HAUS,2010,1737.2508591065
6434000,HAUS,2010,1687.4646840149
6435000,HAUS,2010,1605.6863136863
6436000,HAUS,2010,1736.084942085
6437000,HAUS,2010,1599.7520661157
6438000,HAUS,2010,1684.8373266078
6439000,HAUS,2010,1686.9719626168
6440000,HAUS,2010,1571.2302331815
6531000,HAUS,2010,1521.6084337349
6532000,HAUS,2010,1492.0294985251
6533000,HAUS,2010,1593.1869158879
6534000,HAUS,2010,1553.5305466238
6535000,HAUS,2010,1484.4536082474
6611000,HAUS,2010,1370.3857142857
6631000,HAUS,2010,1413.7152209493
6632000,HAUS,2010,1360.8563380282
6633000,HAUS,2010,1569.7658862876
6634000,HAUS,2010,1526.9642105263
6635000,HAUS,2010,1468.3062645012
6636000,HAUS,2010,1385.6190476191
7111000,HAUS,2010,1420.4473684211
7131000,HAUS,2010,1635.7272727273
7132000,HAUS,2010,1448.0445682451
7133000,HAUS,2010,1593.8871794872
7134000,HAUS,2010,1444.2631578947
7135000,HAUS,2010,1703.7333333333
7137000,HAUS,2010,1543.0899082569
7138000,HAUS,2010,1509.1722408027
7140000,HAUS,2010,1392.3150684932
7141000,HAUS,2010,1536.4536340852
